Title,Author,Additional Authors,ISBN,My Rating,Number of Pages,Original Publication Year,Date Read,Date Added,Read Count
"The Wicked King (The Folk of the Air, #2)",Holly Black,,"=""0316310336""",5,336.0,2019.0,2019/05/17,2018/02/27,2
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,,"=""0439023491""",5,391.0,2009.0,2023/12/29,2023/12/27,1
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,,"=""0439023483""",4,374.0,2008.0,2023/12/26,2023/12/25,1
"Love, Theoretically",Ali Hazelwood,,"=""1408725797""",4,389.0,2023.0,2023/12/09,2023/12/08,1
If You Could See the Sun,Ann Liang,,"=""1335915842""",4,352.0,2022.0,2023/01/21,2022/10/16,1
"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,,"=""0451490843""",4,339.0,2021.0,2023/01/16,2023/01/14,1
The Love Hypothesis,Ali Hazelwood,,"=""0593336828""",3,383.0,2021.0,2023/01/14,2023/01/02,1
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,,"=""""",5,370.0,2018.0,2018/02/28,2018/01/02,4
Let's Talk About Love,Claire Kann,,"=""1250138825""",5,304.0,2018.0,2021/11/23,2021/11/21,2
Solitaire,Alice Oseman,,"=""""",3,392.0,2014.0,2022/05/18,2022/05/18,1
"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,,"=""1442468351""",4,688.0,2016.0,2018/05/04,2018/01/09,2
Something to Talk About,Meryl Wilsner,,"=""0593102525""",4,336.0,2020.0,2021/12/20,2021/08/30,1
"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,,"=""0062941283""",3,400.0,2021.0,2021/11/25,2021/11/23,1
"Prodigy (Legend, #2)",Marie Lu,,"=""0399256768""",3,371.0,2013.0,2021/08/29,2021/08/22,1
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,,"=""""",5,446.0,2015.0,2020/03/10,2020/03/10,2
"Legend (Legend, #1)",Marie Lu,,"=""""",4,305.0,2011.0,2021/07/28,2021/07/24,1
The Henna Wars,Adiba Jaigirdar,,"=""""",5,400.0,2020.0,2021/05/01,2021/04/26,1
"Chain of Iron (The Last Hours, #2)",Cassandra Clare,,"=""140635810X""",4,656.0,2021.0,2021/04/07,2021/04/06,1
"The Poppy War (The Poppy War, #1)",R.F. Kuang,,"=""0062662597""",5,545.0,2018.0,2020/12/07,2020/07/31,2
Last Tang Standing,Lauren  Ho,,"=""0593187814""",4,403.0,2020.0,2020/11/20,2020/11/19,1
I Love You So Mochi,Sarah Kuhn,,"=""1338302884""",4,308.0,2019.0,2020/05/19,2020/05/18,1
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,,"=""1952457017""",5,622.0,2020.0,2020/09/20,2020/09/01,1
"Becoming the Dark Prince (Stalking Jack the Ripper, #3.5)",Kerri Maniscalco,,"=""""",5,64.0,2019.0,2020/09/19,2020/09/16,1
"Escaping from Houdini (Stalking Jack the Ripper, #3)",Kerri Maniscalco,,"=""""",4,416.0,2018.0,2020/09/19,2020/09/16,1
The Bane Chronicles,Cassandra Clare,"Sarah Rees Brennan, Maureen Johnson, Cassandra Jean","=""1442495995""",4,507.0,2014.0,2020/09/17,2020/08/26,1
"Chain of Gold (The Last Hours, #1)",Cassandra Clare,,"=""1481431870""",4,582.0,2020.0,2020/09/13,2020/02/03,1
Tales from the Shadowhunter Academy,Cassandra Clare,"Sarah Rees Brennan, Maureen Johnson, Robin Wasserman, Cassandra Jean","=""1481443259""",4,655.0,2016.0,2020/09/01,2020/08/31,1
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,,"=""""",4,421.0,2014.0,2018/02/13,2018/02/12,2
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,,"=""0062085530""",3,461.0,2013.0,2018/02/12,2018/02/11,2
The Marriage Game (Marriage Game #1),Sara Desai,,"=""0593100565""",2,338.0,2020.0,2020/08/24,2020/08/23,1
"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,,"=""0451490827""",4,296.0,2019.0,2020/08/21,2020/08/21,1
My Favorite Half-Night Stand,Christina Lauren,,"=""""",4,384.0,2018.0,2020/08/22,2020/08/20,1
Head Over Heels,Hannah Orenstein,,"=""1982121475""",3,336.0,2020.0,2020/08/20,2020/08/19,1
The Flatshare,Beth O'Leary,,"=""1787474402""",4,394.0,2019.0,2020/08/20,2020/08/19,1
"Undercover Bromance (Bromance Book Club, #2)",Lyssa Kay Adams,,"=""""",4,348.0,2020.0,2020/08/18,2020/08/16,1
"The Bromance Book Club (Bromance Book Club, #1)",Lyssa Kay Adams,,"=""""",5,350.0,2019.0,2020/08/16,2020/07/20,1
"Can't Tie Me Down! (Sinclair Sisters, #1)",Janet Elizabeth Henderson,,"=""""",4,234.0,2018.0,2020/08/15,2020/08/11,1
Hunting Prince Dracula (Stalking Jack the Ripper #2),Kerri Maniscalco,,"=""031655166X""",5,448.0,2017.0,2020/08/10,2020/08/09,1
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,,"=""""",4,337.0,2016.0,2020/08/08,2020/08/07,1
An Enchantment of Ravens,Margaret  Rogerson,,"=""1481497588""",4,304.0,2017.0,2020/08/07,2020/08/05,1
"To Kill a Kingdom (Hundred Kingdoms, #1)",Alexandra Christo,,"=""1250112680""",5,344.0,2018.0,2020/08/06,2020/02/01,1
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,,"=""0545424925""",3,409.0,2012.0,2020/08/03,2020/07/30,1
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,,"=""1423160916""",5,512.0,2015.0,2017/12/25,2017/09/19,2
Matilda,Roald Dahl,Quentin Blake,"=""0141301066""",5,240.0,1988.0,2020/07/31,2020/07/31,1
"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,,"=""0062208195""",5,111.0,2012.0,2020/07/30,2020/07/30,1
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,,"=""0062085484""",3,338.0,2011.0,2018/02/11,2018/02/07,2
The Hating Game,Sally  Thorne,,"=""""",4,387.0,2016.0,2020/07/28,2020/07/28,1
"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,,"=""""",4,432.0,2019.0,2020/07/05,2020/07/05,1
"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,,"=""0448494507""",5,458.0,2018.0,2020/03/12,2020/03/11,1
"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,,"=""0062941208""",5,373.0,2019.0,2020/07/22,2020/07/19,1
You Deserve Each Other,Sarah Hogle,,"=""""",5,368.0,2020.0,2020/07/19,2020/07/18,1
"Red, White & Royal Blue",Casey McQuiston,,"=""""",5,423.0,2019.0,2020/06/13,2020/06/11,1
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,,"=""0316310409""",5,300.0,2019.0,2020/01/27,2019/05/16,1
"The Wedding Party (The Wedding Date, #3)",Jasmine Guillory,,"=""1984802208""",4,351.0,2019.0,2020/07/24,2020/07/23,1
"The Proposal (The Wedding Date, #2)",Jasmine Guillory,,"=""0399587683""",4,325.0,2018.0,2020/07/23,2020/07/21,1
"The Wedding Date (The Wedding Date, #1)",Jasmine Guillory,,"=""0399587675""",4,317.0,2018.0,2020/07/22,2020/07/21,1
If I Never Met You,Mhairi McFarlane,,"=""006295850X""",3,409.0,2020.0,2020/07/21,2020/07/20,1
The Worst Best Man,Mia Sosa,,"=""0062909886""",5,368.0,2020.0,2020/07/20,2020/07/19,1
Educating Caroline,Patricia Cabot,,"=""0743410262""",4,448.0,2001.0,2020/07/18,2020/07/17,1
What Would a Duke Do? (Seductive Scoundrels #4),Collette Cameron,,"=""1954307586""",4,322.0,2019.0,2020/07/11,2020/07/11,1
"The Toll (Arc of a Scythe, #3)",Neal Shusterman,,"=""1481497065""",3,625.0,2019.0,2020/07/15,2020/07/09,1
"Wildcard (Warcross, #2)",Marie Lu,,"=""0399548017""",5,352.0,2018.0,2020/07/14,2020/07/13,1
"Warcross (Warcross, #1)",Marie Lu,,"=""""",4,366.0,2017.0,2020/07/13,2020/07/13,1
"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,,"=""0451490819""",4,323.0,2018.0,2020/07/11,2020/07/04,1
"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,,"=""1442472456""",4,504.0,2018.0,2020/07/10,2020/07/09,1
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,,"=""""",4,435.0,2016.0,2020/07/09,2020/02/03,1
人渣反派自救系统,Mò Xiāng Tóng Xiù,墨香铜臭,"=""""",3,1112.0,2015.0,,2020/07/07,1
American Panda,Gloria Chao,,"=""1481499106""",4,311.0,2018.0,2020/07/06,2020/07/06,1
Beach Read,Emily Henry,,"=""1984806734""",4,400.0,2020.0,2020/07/05,2020/07/04,1
"Carry On (Simon Snow, #1)",Rainbow Rowell,,"=""1250135028""",5,522.0,2015.0,2020/06/12,2018/06/13,1
Tweet Cute,Emma Lord,,"=""1250237327""",4,368.0,2020.0,2020/05/18,2020/05/18,1
Always Never Yours,Emily Wibberley,Austin Siegemund-Broka,"=""045147984X""",4,352.0,2018.0,2020/05/18,2020/05/17,1
"Rich Dad, Poor Dad",Robert T. Kiyosaki,,"=""0751532711""",3,195.0,1997.0,2020/05/17,2020/05/03,1
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,,"=""""",5,561.0,2016.0,2018/01/06,2018/01/03,2
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,,"=""0062348671""",5,320.0,2015.0,2020/03/11,2020/03/11,1
"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,,"=""""",4,452.0,2016.0,2020/03/11,2020/03/10,1
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,,"=""""",5,465.0,2015.0,2018/01/02,2017/09/19,2
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,,"=""""",4,513.0,2019.0,2020/01/31,2020/01/31,1
"What If It's Us (What If It's Us, #1)",Becky Albertalli,Adam Silvera,"=""0062795252""",4,437.0,2018.0,2020/01/28,2020/01/26,1
"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,,"=""1423140567""",4,452.0,2011.0,,2020/01/20,1
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,,"=""1423113381""",3,528.0,2010.0,,2017/09/19,1
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,,"=""1408857901""",4,705.0,2017.0,2019/05/19,2017/11/12,1
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,,"=""""",5,626.0,2016.0,2018/01/08,2017/09/19,2
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Mary GrandPré,"=""""",5,912.0,2003.0,2019/05/10,2018/06/08,1
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,,"=""1423140605""",5,586.0,2012.0,,2017/09/19,2
"Smaragdgrün (Edelstein-Trilogie, #3)",Kerstin Gier,,"=""3401063480""",4,487.0,2010.0,2018/12/09,2018/12/09,1
"Saphirblau (Edelstein-Trilogie, #2)",Kerstin Gier,,"=""""",4,400.0,2010.0,2018/12/09,2018/12/08,1
"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,,"=""3401063340""",4,345.0,2009.0,2018/12/08,2018/12/08,1
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Jim Kay, Mary GrandPré","=""""",4,734.0,2000.0,2018/11/24,2018/06/08,1
I'll Give You the Sun,Jandy Nelson,,"=""0803734964""",4,371.0,2014.0,2018/11/12,2018/06/09,1
"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,,"=""""",4,243.0,1915.0,2018/10/06,2018/10/03,1
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,,"=""0553213148""",4,276.0,1909.0,2018/10/05,2018/10/03,1
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,,"=""0451528824""",5,320.0,1908.0,2018/10/06,2018/10/03,1
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,,"=""1619634449""",4,432.0,2015.0,,2017/09/19,2
"Rebel Belle (Rebel Belle, #1)",Rachel Hawkins,,"=""0399256938""",4,345.0,2014.0,2018/08/25,2017/11/17,1
The Sun Is Also a Star,Nicola Yoon,,"=""0553496689""",4,344.0,2016.0,2018/08/24,2018/08/24,2
"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,,"=""1481430483""",4,325.0,2017.0,2018/08/24,2018/08/24,1
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,,"=""144242673X""",5,337.0,2015.0,2018/08/24,2018/08/23,1
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,,"=""""",5,355.0,2014.0,2018/08/23,2018/08/23,1
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,,"=""1423140591""",5,521.0,2011.0,,2017/09/19,2
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,,"=""142311339X""",5,576.0,2010.0,,2017/09/19,2
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,,"=""1423101472""",5,381.0,2009.0,,2017/09/19,2
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,"=""1423101464""",5,361.0,2008.0,,2017/09/19,2
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,,"=""0141382899""",5,320.0,2007.0,,2017/09/19,2
Fangirl,Rainbow Rowell,,"=""1250054001""",5,435.0,2013.0,,2017/09/19,2
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,,"=""0786856866""",5,279.0,2006.0,2016/06/28,2017/09/19,2
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,"=""""",5,377.0,2005.0,2016/06/26,2017/09/19,2
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,Mary GrandPré,"=""043965548X""",5,435.0,1999.0,2018/06/08,2018/03/05,1
"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani,Iacopo Bruno,"=""0062104896""",4,488.0,2013.0,2018/05/08,2017/09/19,1
"Lord of Shadows (The Dark Artifices, #2)",Cassandra Clare,,"=""1442468408""",5,699.0,2017.0,2018/05/08,2017/11/12,1
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,,"=""1481426303""",5,725.0,2014.0,2018/05/03,2017/09/19,1
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,,"=""1442416866""",5,535.0,2012.0,2018/05/02,2017/09/19,1
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,,"=""1442403543""",4,425.0,2011.0,2018/04/30,2017/09/19,1
"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Stephanie Perkins,,"=""0525425632""",5,339.0,2014.0,2018/01/25,2017/09/19,1
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,,"=""1406321346""",5,567.0,2013.0,2018/01/15,2018/01/09,1
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,,"=""1416975888""",5,498.0,2011.0,2018/01/14,2018/01/09,1
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,,"=""1416975861""",4,479.0,2010.0,2018/01/13,2018/01/09,1
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Kazu Kibuishi, Mary GrandPré","=""054558292X""",5,341.0,1998.0,2018/01/11,2017/09/19,1
"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",Rick Riordan,,"=""1423160924""",5,459.0,2016.0,2018/01/01,2017/09/19,1
"Winter (The Lunar Chronicles, #4)",Marissa Meyer,,"=""0312642989""",5,827.0,2015.0,2017/11/16,2017/09/20,1
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,,"=""0312642970""",5,552.0,2014.0,2017/11/16,2017/09/20,1
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,,"=""0312642962""",4,454.0,2013.0,2017/11/14,2017/09/20,1
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,,"=""0312641893""",4,390.0,2012.0,2017/11/13,2017/09/20,1
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,,"=""""",5,309.0,1997.0,2017/09/23,2017/09/19,1
"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,,"=""148473274X""",5,384.0,2016.0,2017/09/21,2017/09/19,1
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,,"=""0525423273""",5,372.0,2010.0,,2017/09/19,1
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,,"=""1416914307""",5,541.0,2009.0,,2017/09/19,1
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,,"=""1416914293""",4,453.0,2008.0,,2017/09/19,1
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,,"=""1416914285""",3,485.0,2007.0,,2017/09/19,1
"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,,"=""""",4,338.0,2011.0,,2017/09/19,1
"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,,"=""1484724917""",5,516.0,2014.0,,2017/09/19,1
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,,"=""1423146727""",5,597.0,2013.0,,2017/09/19,1
