Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,"=""0316310336""","=""9780316310338""",5,4.31,"Little, Brown Books for Young Readers",ebook,336,2019,2019,2019/05/17,2018/02/27,,,read,,,,2,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.32,Scholastic Press,Hardcover,391,2009,2009,2023/12/29,2023/12/27,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.33,Scholastic Press,Hardcover,374,2008,2008,2023/12/26,2023/12/25,,,read,,,,1,0
61326735,"Love, Theoretically",Ali Hazelwood,"Hazelwood, Ali",,"=""1408725797""","=""9781408725795""",4,4.16,Little Brown Books,Paperback,389,2023,2023,2023/12/09,2023/12/08,,,read,,,,1,0
61896624,"Imogen, Obviously",Becky Albertalli,"Albertalli, Becky",,"=""0063045877""","=""9780063045873""",0,4.28,Balzer + Bray,Hardcover,432,2023,2023,,2023/06/26,to-read,to-read (#20),to-read,,,,0,0
52459864,"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao,"Zhao, Xiran Jay",,"=""0735269939""","=""9780735269934""",0,4.09,Penguin Teen,Hardcover,391,2021,2021,,2023/06/07,to-read,to-read (#19),to-read,,,,0,0
50892212,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,"Gong, Chloe",,"=""1534457690""","=""9781534457690""",0,3.86,Margaret K. McElderry Books,Hardcover,449,2020,2020,,2023/01/22,to-read,to-read (#18),to-read,,,,0,0
58800142,"Astrid Parker Doesn't Fail (Bright Falls, #2)",Ashley Herring Blake,"Blake, Ashley Herring",,"=""""","=""""",0,4.07,Berkley,Kindle Edition,400,2022,2022,,2023/01/22,to-read,to-read (#17),to-read,,,,0,0
60099660,If You Could See the Sun,Ann Liang,"Liang, Ann",,"=""1335915842""","=""9781335915849""",4,4.04,Inkyard Press,Hardcover,352,2022,2022,2023/01/21,2022/10/16,,,read,3.5 stars. i enjoyed it thoroughly. there are certain aspects in the story that is a bit meh to me but overall i enjoyed reading it. ngl the teeny tiny romance hardcarried the ratings for me (totally not because im a sucker for academic rivals to lovers trope).,,,1,0
60321485,Kiss Her Once for Me,Alison Cochrun,"Cochrun, Alison",,"=""1982191139""","=""9781982191139""",0,3.86,Atria,Paperback,368,2022,2022,,2023/01/17,to-read,to-read (#16),to-read,,,,0,0
18300260,Emma,Jane Austen,"Austen, Jane",Andrew Motion,"=""0099589273""","=""9780099589273""",0,4.05,Vintage,Paperback,574,2014,1815,,2023/01/17,to-read,to-read (#15),to-read,,,,0,0
50056075,"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,"Hoang, Helen",,"=""0451490843""","=""9780451490841""",4,3.96,Berkley,Paperback,339,2021,2021,2023/01/16,2023/01/14,,,read,,,,1,0
61198133,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"Black, Holly",,"=""0316592706""","=""9780316592703""",0,4.02,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,,2023/01/16,to-read,to-read (#14),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",3,4.16,Berkley Books,Paperback,383,2021,2021,2023/01/14,2023/01/02,,,read,,,,1,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",5,4.06,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,2018/02/28,2018/01/02,,,read,,,,4,0
31625039,Let's Talk About Love,Claire Kann,"Kann, Claire",,"=""1250138825""","=""9781250138828""",5,3.71,Swoon Reads,ebook,304,2018,2018,2021/11/23,2021/11/21,,,read,reread at a perfect time and headspace,,,2,0
42115981,Loveless,Alice Oseman,"Oseman, Alice",,"=""000824412X""","=""9780008244125""",0,4.22,HarperCollins Children’s Books,Paperback,433,2020,2020,,2021/08/10,to-read,to-read (#13),to-read,,,,0,0
50266871,Hani and Ishu's Guide to Fake Dating,Adiba Jaigirdar,"Jaigirdar, Adiba",,"=""""","=""""",0,4.11,Page Street Kids,Kindle Edition,352,2021,2021,,2021/06/03,to-read,to-read (#12),to-read,,,,0,0
55348105,How to Excavate a Heart,Jake Maia Arlow,"Arlow, Jake Maia",,"=""""","=""""",0,3.84,HarperTeen,Hardcover,384,2022,2022,,2022/09/13,to-read,to-read (#11),to-read,,,,0,0
17699859,"Chain of Thorns (The Last Hours, #3)",Cassandra Clare,"Clare, Cassandra",,"=""1406358118""","=""9781406358117""",0,4.05,Walker Books,Hardcover,778,2023,2023,,2022/08/14,to-read,to-read (#10),to-read,,,,0,0
20618110,Solitaire,Alice Oseman,"Oseman, Alice",,"=""""","=""""",3,3.93,Harper Collins Children's Books UK,Paperback,392,2014,2014,2022/05/18,2022/05/18,,,read,,,,1,0
52510575,泾渭情殇 [Jīng Wèi Qíng Shāng],Qing Jun Mo Xiao,"Xiao, Qing Jun Mo",请君莫笑,"=""""","=""""",0,4.62,jjwxc,Webnovel,3909,2018,2018,,2022/03/29,to-read,to-read (#9),to-read,,,,0,0
25494343,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1442468351""","=""9781442468351""",4,4.36,Margaret K. McElderry Books,Hardcover,688,2016,2016,2018/05/04,2018/01/09,,,read,"4 stars. this was one of my favorites when i was a young teenager. there were a lot of infos that i overlooked before and some that i forgot and reading this again made it feel like i'm experiencing it the first time. i am still in love with the characters and the world but there are some parts that i realized were underwhelming (plot wise) but over all it was an ""okay"" introduction to the series/trilogy.",,,2,0
52915426,Something to Talk About,Meryl Wilsner,"Wilsner, Meryl",,"=""0593102525""","=""9780593102527""",4,3.65,Berkley Books,Paperback,336,2020,2020,2021/12/20,2021/08/30,,,read,3.5 stars. It literally took me months to finish this (I was too occupied with uni) and I think I would've rate it higher if I read this on a short time frame and in the right head space since it ruined my immersion with the book (totally my fault!). The romance between the two characters are chef's kiss and the slow burn incinerated me.,,,1,0
51824384,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,"Hibbert, Talia",,"=""0062941283""","=""9780062941282""",3,4.12,Avon,ebook,400,2021,2021,2021/11/25,2021/11/23,,,read,,,,1,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,4.21,Tinder Press,Hardcover,372,2020,2020,,2021/11/21,to-read,to-read (#8),to-read,,,,0,0
35224992,Last Night at the Telegraph Club,Malinda Lo,"Lo, Malinda",,"=""0525555250""","=""9780525555254""",0,4.23,Dutton Books for Young Readers,Hardcover,409,2021,2021,,2021/10/28,to-read,to-read (#7),to-read,,,,0,0
13414446,"Prodigy (Legend, #2)",Marie Lu,"Lu, Marie",,"=""0399256768""","=""9780399256769""",3,4.23,Putnam Juvenile,Hardcover,371,2013,2013,2021/08/29,2021/08/22,,,read,"3.5 stars. This book is fast-paced with compelling characters. Marie Lu's writing style is definitely up my alley, crisp and articulate, which made my reading experience more enjoyable. This installment explores more on the political aspect of the setting yet still manages to make it action-packed. The ending though *SCREECH* !! There are minors parts in the story where I feel confused or 'meh' about, mostly on the plot, but maybe it's just my pea sized brain refusing to establish rapport with me at 4 am while trying to finish reading this book.",,,1,0
43352954,This is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.93,Saga Press,Kindle Edition,209,2019,2019,,2021/08/25,to-read,to-read (#6),to-read,,,,0,0
54017833,"Gearbreakers (Gearbreakers, #1)",Zoe Hana Mikuta,"Mikuta, Zoe Hana",,"=""1250269504""","=""9781250269508""",0,3.90,Feiwel & Friends,Hardcover,405,2021,2021,,2021/08/21,to-read,to-read (#5),to-read,,,,0,0
27774758,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,"Tahir, Sabaa",,"=""""","=""""",5,4.25,Razorbill,Paperback,446,2016,2015,2020/03/10,2020/03/10,,,read,,,,2,0
25322449,Radio Silence,Alice Oseman,"Oseman, Alice",,"=""""","=""""",0,4.20,Harper Collins Children's Books,Paperback,496,2016,2016,,2021/08/11,to-read,to-read (#4),to-read,,,,0,0
9275658,"Legend (Legend, #1)",Marie Lu,"Lu, Marie",,"=""""","=""""",4,4.16,Putnam Juvenile,Hardcover,305,2011,2011,2021/07/28,2021/07/24,,,read,"4.5 stars. my expectations are fulfilled. this book is fast-paced and the events are very intriguing that it got me breeze through almost all the pages in one single night. i totally regret not picking this up earlier. i can't wait to see (read) what will happen on the next book!<br/><br/>this book is a reading slump destroyer, at least in my opinion.",,,1,0
31520883,"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,"Tahir, Sabaa",,"=""000828881X""","=""9780008288815""",0,4.31,Razorbill,Paperback,516,2021,2020,,2021/07/28,to-read,to-read (#3),to-read,,,,0,0
